order_id,date,customer_id,book_id,quantity,price,total,method,year
993376037,1/1/2018,1081623,43838523,2,21.68,43.36,Mobile Payment,2018
212665653,1/1/2018,2961752,36337550,3,2.79,8.37,Bank Transfer,2018
194399106,1/1/2018,2024462,12891160,3,16.63,49.89,Bank Transfer,2018
510899399,1/1/2018,9671640,50669207,3,7.64,22.92,Cash,2018
688454935,1/1/2018,9535044,40221339,5,31.96,159.8,Bank Transfer,2018
635056456,1/1/2018,8999670,44281323,2,30.47,60.94,Cash,2018
366062251,1/1/2018,5953407,38928117,1,26.71,26.71,Bank Transfer,2018
317090367,1/1/2018,1094746,37491892,1,31.21,31.21,Mobile Payment,2018
527028986,1/1/2018,5973445,35889210,1,21.23,21.23,Mobile Payment,2018
257703548,1/1/2018,3445245,44281323,2,25.43,50.86,Mobile Payment,2018
726260987,1/1/2018,4362358,43314791,1,18.25,18.25,Bank Transfer,2018
823984439,1/1/2018,5113100,45162862,2,28.82,57.64,Cash,2018
812841584,1/1/2018,1042724,15841931,4,16.61,66.44,Mobile Payment,2018
826811731,1/1/2018,6827689,48751530,4,12.05,48.2,Mobile Payment,2018
565214105,1/1/2018,8135362,51503117,5,16.85,84.25,Bank Transfer,2018
904689808,1/1/2018,8875616,51485342,1,18.85,18.85,Mobile Payment,2018
842358341,1/1/2018,9778846,35297426,3,15.92,47.76,Mobile Payment,2018
141328523,1/1/2018,5374634,285899,1,5.83,5.83,Bank Transfer,2018
719394675,1/1/2018,9313163,136251,1,24.81,24.81,Bank Transfer,2018
150726847,1/1/2018,2058960,50199347,3,10.65,31.95,Bank Transfer,2018
366270226,1/1/2018,1359864,49095673,1,30.14,30.14,Mobile Payment,2018
490265438,1/1/2018,2468702,30199328,4,21.31,85.24,Cash,2018
181517427,1/1/2018,1642389,50158983,5,6.11,30.55,Cash,2018
949736980,1/1/2018,1110900,38792380,4,30.44,121.76,Mobile Payment,2018
661768774,1/1/2018,3938751,50720753,5,7.18,35.9,Bank Transfer,2018
821998508,1/1/2018,7095835,51485099,1,29.81,29.81,Cash,2018
466978802,1/1/2018,4709926,51181508,2,6.57,13.14,Mobile Payment,2018
804798930,1/1/2018,9641209,688590,5,24.63,123.15,Cash,2018
619938906,1/1/2018,8507832,51012381,4,16.19,64.76,Cash,2018
894500759,1/1/2018,6749250,37502596,4,14.45,57.8,Cash,2018
707316061,1/1/2018,6696424,37491892,1,14.46,14.46,Cash,2018
777328270,1/1/2018,1145760,41859657,1,26.68,26.68,Mobile Payment,2018
575679109,1/1/2018,7416587,29800,2,2.89,5.78,Bank Transfer,2018
681746454,1/2/2018,6560448,51501267,1,11.81,11.81,Mobile Payment,2018
145186597,1/2/2018,4003129,1297639,3,23.64,70.92,Bank Transfer,2018
775465451,1/2/2018,9222273,50372031,5,9.77,48.85,Mobile Payment,2018
928274909,1/2/2018,9248584,49022171,4,10.87,43.48,Bank Transfer,2018
914050427,1/2/2018,8335054,46404191,3,2.13,6.39,Bank Transfer,2018
473731984,1/2/2018,9590841,35297562,4,31.32,125.28,Bank Transfer,2018
289650589,1/2/2018,3146440,49208879,5,26.86,134.3,Cash,2018
850826584,1/2/2018,6551107,43798285,1,10.73,10.73,Cash,2018
403949097,1/2/2018,9017537,15058717,5,24.49,122.45,Mobile Payment,2018
214024211,1/2/2018,2119518,50714331,1,6.55,6.55,Cash,2018
963078786,1/2/2018,9486430,50276294,1,6.35,6.35,Cash,2018
884877957,1/2/2018,7595435,51075187,4,25.78,103.12,Mobile Payment,2018
231669637,1/2/2018,9486430,35297426,5,12.56,62.8,Cash,2018
638602550,1/2/2018,9222418,1650765,3,13.76,41.28,Cash,2018
895066645,1/2/2018,9374947,37491892,1,20.53,20.53,Cash,2018
486816157,1/2/2018,2704992,36410726,4,29.79,119.16,Mobile Payment,2018
645418256,1/2/2018,4317940,920649,4,3.19,12.76,Cash,2018
382151202,1/2/2018,1149817,51527906,2,14.78,29.56,Bank Transfer,2018
277963627,1/2/2018,5130190,32668,2,9.4,18.8,Mobile Payment,2018
413315756,1/2/2018,5697860,172118,1,17.5,17.5,Bank Transfer,2018
798340515,1/2/2018,1273684,36575847,2,31.54,63.08,Mobile Payment,2018
745988492,1/2/2018,6760729,31570825,1,2.26,2.26,Mobile Payment,2018
942305478,1/2/2018,3666569,51480485,1,4,4,Cash,2018
371918351,1/2/2018,6820289,17568427,5,3.83,19.15,Bank Transfer,2018
323542072,1/2/2018,1892867,23841432,4,3.32,13.28,Cash,2018
792758072,1/2/2018,5077360,383536,5,11.15,55.75,Mobile Payment,2018
621783847,1/2/2018,6397001,48961609,5,30.81,154.05,Cash,2018
708617829,1/2/2018,6629803,36373525,4,14.23,56.92,Mobile Payment,2018
361615713,1/2/2018,2212047,93374,3,15.33,45.99,Cash,2018
343141160,1/2/2018,2103586,31180248,4,26.28,105.12,Mobile Payment,2018
242687665,1/2/2018,6472105,1076038,4,27.94,111.76,Mobile Payment,2018
943216006,1/2/2018,8162227,44805937,5,13.96,69.8,Bank Transfer,2018
929155876,1/2/2018,2912689,49010745,5,10.61,53.05,Mobile Payment,2018
350407616,1/3/2018,9537359,49124529,2,11.76,23.52,Cash,2018
